iteration,r2,rmse,mae,mape,residual_skew,residual_kurtosis
1,0.8643142301128193,45166.07131436886,25551.15698432225,9.149342866461225,1.1526024011289981,21.230486059922114
2,0.9080527987778898,37180.431137774234,20610.205591464997,7.555036886218566,-1.6011147913080652,39.29074673092918
3,0.8393910013374238,49139.42853227383,28762.592315774124,10.332203086660902,2.2363940143322134,14.800627887551043
4,0.8638169866696194,45248.75498369465,25710.797613077888,9.213301623765544,1.2024496390733357,20.10947670271463
5,0.8574177603571911,46299.668381607626,26603.828766702813,9.50196600116727,1.7047350663542125,16.95663032532366
6,0.8962282492114799,39498.875911241936,21955.31338683326,7.97122871670759,-1.0140976077404988,37.899940148923406
7,0.8357904580869542,49687.1811527328,28883.563521807722,10.308227398577044,2.2612184091559717,14.793109575358285
8,0.8778315367201884,42857.29138784384,23535.23344280537,8.494157940307847,-1.2549584831197027,41.48162908725305
9,0.8538507238492428,46875.239391378185,26958.34650636293,9.64856145919608,2.099781412272075,16.772422942945035
10,0.8541619710768039,46825.298793775284,26850.935342023706,9.583893550166952,1.9445753783672801,16.76700112413029
11,0.8704375118544738,44135.17004322936,24751.53328330159,8.87122268138835,-0.47669727901968706,32.96264852304679
12,0.8508738181887856,47350.23225038276,27337.48322549929,9.779070668453551,1.6678440064437268,16.670232752332282
13,0.8587243137106289,46087.0465020347,26594.40844308582,9.54271033677331,1.6513994082956927,17.171855961670083
14,0.871518685338122,43950.63460156129,24974.67562548265,8.998028987908398,0.5771878320318131,23.79286811550339
15,0.8645982468249809,45118.77586491236,25738.787811583898,9.236356902330483,1.1412363525779579,20.002520452571467
16,0.8739070115726651,43540.22140940668,24319.5125118081,8.734121364796062,0.2789742377575262,27.260252643293313
17,0.9007462954785559,38629.45019263929,21239.761523581517,7.7718361871602655,-1.770774088204214,43.77950770508662
18,0.8682922300388185,44499.06261553026,25390.017921203125,9.074300513002035,1.4194556593783785,18.8455927437605
19,0.8626879927421137,45435.930045718786,26118.129729882698,9.369026268198057,1.1383362472807994,18.80923177540103
20,0.8376386909173474,49406.76703376728,28572.178579526582,10.212630792174673,2.247769021749818,15.074012299601494
21,0.87269581393048,43748.83641292208,24281.048549800104,8.714092028656308,-0.29909444871962015,31.70125360432492
22,0.881480431534802,42212.41460570267,23712.92162488233,8.533239145841613,-0.07561941075200905,29.252064066690288
23,0.8432515134547081,48545.261231882556,28324.10480045883,10.149600208835038,2.1974404423722076,15.644248819444114
24,0.8656304958367744,44946.46304130838,25544.852257155686,9.173506905306903,1.2394714000383062,20.150212401106238
25,0.8750197953097039,43347.67216005079,24561.89791537921,8.837402544600787,0.39582846498183183,25.200377434761243
26,0.9143938202807864,35875.4801755424,20225.085285171543,7.478650052753401,-1.5080013519706457,39.62520441364024
27,0.8999223271667308,38789.46264090547,21056.87755947246,7.745619095889708,-1.7932256142269931,46.343357766626355
28,0.9181766658215094,35073.87505202505,20477.102114020156,7.5917355870503,-0.9575695178975024,29.857148629662035
29,0.9195036835203562,34788.296912167505,20178.004644838395,7.4585556321001985,-1.0793174157914207,29.54516418149072
30,0.9118133560978217,36412.170852874195,21011.31907649745,7.7391629149462755,-0.45601688586995787,24.629874772641358
31,0.9005500483003817,38667.6209441981,22640.47686285056,8.20054934438579,1.1208531307220313,16.560443632452824
32,0.8417268072684564,48780.79185413762,28526.952924095633,10.227190732806731,2.0341741851317074,14.959609480772707
