rep,fold,R2,RMSE,MAE,MAPE
1,1,0.938190477429027,28397.17537563203,18445.722479905948,7.568756856211446
1,2,0.9376766185020186,29455.202061043405,18628.107429594376,7.695782748228752
1,3,0.9371985595437943,32065.95800024836,20479.625314760608,7.777818291256142
1,4,0.9304143958085048,32331.42254054179,20375.047900999296,7.489424611906026
1,5,0.9400831998597294,32404.736871476758,19336.517638660687,9.60075630661857
1,6,0.9150626270601299,38347.05463971509,21752.38324682566,7.992981589739145
1,7,0.9411039860574201,26329.175880480554,17387.41780254102,6.914548797621345
1,8,0.8367424144954327,48563.23622933844,24450.70316351448,9.105030575797434
1,9,0.9533852868805691,24129.349078819545,17248.989132316987,6.9548713585123325
1,10,0.9464865812602513,30229.78855914942,19823.20724695048,7.194672914725968
2,1,0.9287461994553043,33265.128467340524,20261.67765615877,7.85493563955318
2,2,0.8884220611934392,40605.9208641347,19739.32595642431,7.541924659249714
2,3,0.9481666152321353,28028.970727256026,18687.8083386975,7.51996081882294
2,4,0.9295224123133908,31195.861293502152,21176.22626048313,8.423163669436985
2,5,0.9254941374801189,33964.591596688064,21541.63971218635,8.703943200677168
2,6,0.9412199533279334,32910.311317956584,20315.91527428692,8.911695308865761
2,7,0.9330026663447017,29850.3092088142,19463.044014184405,7.1396161676702095
2,8,0.9331181461653107,29259.706602132803,18330.03852658973,7.203292900027074
2,9,0.9334101226958929,31329.008261021834,19218.830290229045,7.724907693247819
2,10,0.9592912040811331,24860.405769338584,16661.48876653151,6.431700551743378
3,1,0.9255363564318726,38270.23182499484,22466.208649385302,8.325808346049742
3,2,0.9412606274233998,27628.678347182355,18113.110199503983,7.6929345245144525
3,3,0.9469696029324256,29120.486931454503,18000.861967599427,6.999549349398623
3,4,0.9001932055379199,42664.94956610992,21511.626943330113,8.562517303318423
3,5,0.9436496086349886,26092.600039981648,17893.004160857276,7.051461754266208
3,6,0.9333011166455036,31145.686855870896,19954.84142203886,7.795337988666972
3,7,0.9581318132097745,21324.24114067356,15745.667446455625,6.473203371098984
