pid,presupuesto,neighborhood,objective_mip,roi_usd,roi_pct,pct_net_improve,price_base,price_opt,delta_price,budget_usado,total_cost,slack,runtime_s,mip_gap_pct,bins_active,error
534402170,15000.0,No aplicames,60154.97,60155.0,2769.0,19.0,263651.0,325979.0,62327.0,2172.1900000000005,2172.0,12827.81,0.69,0.0,,
534402170,40000.0,No aplicames,60154.97,60155.0,2769.0,19.0,263651.0,325979.0,62327.0,2172.1900000000023,2172.0,37827.81,1.68,0.0,,
534402170,75000.0,No aplicames,60154.97,60155.0,2769.0,19.0,263651.0,325979.0,62327.0,2172.1900000000023,2172.0,72827.81,2.17,0.0,,
534402170,200000.0,No aplicames,60154.97,60155.0,2769.0,19.0,263651.0,325979.0,62327.0,2172.1900000000023,2172.0,197827.81,2.24,0.0,,
527425060,15000.0,No aplicames,78992.81,78993.0,720.0,38.0,146738.0,236708.0,89970.0,10977.25,10977.0,4022.75,0.53,0.0,,
527425060,40000.0,No aplicames,78992.81,78993.0,720.0,38.0,146738.0,236708.0,89970.0,10977.25,10977.0,29022.75,0.85,0.0,,
527425060,75000.0,No aplicames,78992.81,78993.0,720.0,38.0,146738.0,236708.0,89970.0,10977.25,10977.0,64022.75,0.97,0.0014,,
527425060,200000.0,No aplicames,78992.81,78993.0,720.0,38.0,146738.0,236708.0,89970.0,10977.25,10977.0,189022.75,0.86,0.0,,
903454080,15000.0,IDOTRR,67424.53,67425.0,576.0,28.0,205917.0,285041.0,79125.0,11700.0,11700.0,3300.0,0.92,0.0,,
903454080,40000.0,IDOTRR,74051.04,74051.0,354.0,32.0,205917.0,300868.0,94951.0,20900.0,20900.0,19100.0,4.39,0.0,,
903454080,75000.0,IDOTRR,74051.04,74051.0,354.0,32.0,205917.0,300868.0,94951.0,20900.0,20900.0,54100.0,6.99,0.0,,
903454080,200000.0,IDOTRR,74051.04,74051.0,354.0,32.0,205917.0,300868.0,94951.0,20900.0,20900.0,179100.0,12.36,0.0,,
902406030,15000.0,OldTown,61528.12,61528.0,427.0,28.0,193127.0,269055.0,75928.0,14400.0,14400.0,600.0,1.11,0.0,,
902406030,40000.0,OldTown,61763.38,61763.0,388.0,29.0,193127.0,270790.0,77663.0,15900.0,15900.0,24100.0,3.52,0.0,,
902406030,75000.0,OldTown,61763.38,61763.0,388.0,29.0,193127.0,270790.0,77663.0,15900.0,15900.0,59100.0,4.21,0.0,,
902406030,200000.0,OldTown,61763.38,61763.0,388.0,29.0,193127.0,270790.0,77663.0,15900.0,15900.0,184100.0,4.57,0.0,,
905426030,15000.0,Edwards,115294.14,115294.0,3494.0,24.0,368586.0,487181.0,118594.0,3300.0,3300.0,11700.0,0.91,0.0,,
905426030,40000.0,Edwards,117571.62,117572.0,527.0,28.0,368586.0,508458.0,139872.0,22300.0,22300.0,17700.0,2.09,0.0,,
905426030,75000.0,Edwards,117571.62,117572.0,527.0,28.0,368586.0,508458.0,139872.0,22300.0,22300.0,52700.0,2.88,0.0,,
905426030,200000.0,Edwards,117571.62,117572.0,527.0,28.0,368586.0,508458.0,139872.0,22300.0,22300.0,177700.0,2.68,0.0,,
