index,pred_base,pred_recon,equal,n_diffs,sample_diffs
0,315174.5,315174.5,True,0,
1,165778.453125,165778.453125,True,0,
2,245515.03125,245515.03125,True,0,
3,362531.34375,362531.34375,True,0,
4,279493.8125,279493.8125,True,0,
5,286882.53125,286882.53125,True,0,
6,305799.9375,305799.9375,True,0,
7,272706.8125,272706.8125,True,0,
8,367362.4375,367362.4375,True,0,
9,281461.96875,281461.96875,True,0,
10,257489.5625,257489.5625,True,0,
11,261350.203125,261350.203125,True,0,
12,246190.765625,246190.765625,True,0,
13,263032.75,263032.75,True,0,
14,320020.875,320020.875,True,0,
15,776350.5625,776350.5625,True,0,
16,264889.28125,264889.28125,True,0,
17,570239.625,570239.625,True,0,
18,194884.078125,194884.078125,True,0,
19,307091.96875,307091.96875,True,0,
20,287212.6875,287212.6875,True,0,
21,247843.78125,247843.78125,True,0,
22,315210.5625,315210.5625,True,0,
23,221101.40625,221101.40625,True,0,
24,227353.0625,227353.0625,True,0,
25,208362.96875,208362.96875,True,0,
26,182911.65625,182911.65625,True,0,
27,168061.484375,168061.484375,True,0,
28,275459.1875,275459.1875,True,0,
29,146961.6875,146961.6875,True,0,
30,147256.015625,147256.015625,True,0,
31,132171.28125,132171.28125,True,0,
32,209487.125,209487.125,True,0,
33,217762.59375,217762.59375,True,0,
34,177429.828125,177429.828125,True,0,
35,212042.640625,212042.640625,True,0,
36,549252.4375,549252.4375,True,0,
37,443207.15625,443207.15625,True,0,
38,575396.0,575396.0,True,0,
39,405870.40625,405870.40625,True,0,
40,338347.4375,338347.4375,True,0,
41,418517.40625,418517.40625,True,0,
42,392901.65625,392901.65625,True,0,
43,293134.8125,293134.8125,True,0,
44,727131.0625,727131.0625,True,0,
45,326898.375,326898.375,True,0,
46,724672.0625,724672.0625,True,0,
47,478733.875,478733.875,True,0,
48,445738.15625,445738.15625,True,0,
49,305033.3125,305033.3125,True,0,
50,237889.609375,237889.609375,True,0,
51,261656.953125,261656.953125,True,0,
52,239282.109375,239282.109375,True,0,
53,276053.78125,276053.78125,True,0,
54,269332.84375,269332.84375,True,0,
55,313034.1875,313034.1875,True,0,
56,289361.25,289361.25,True,0,
57,258367.703125,258367.703125,True,0,
58,321221.625,321221.625,True,0,
59,488501.625,488501.625,True,0,
60,522696.1875,522696.1875,True,0,
61,364376.03125,364376.03125,True,0,
62,479493.28125,479493.28125,True,0,
63,461275.0,461275.0,True,0,
64,318109.96875,318109.96875,True,0,
65,593445.375,593445.375,True,0,
66,303548.6875,303548.6875,True,0,
67,306043.53125,306043.53125,True,0,
68,397319.28125,397319.28125,True,0,
69,355065.96875,355065.96875,True,0,
70,352283.34375,352283.34375,True,0,
71,336825.28125,336825.28125,True,0,
72,269224.46875,269224.46875,True,0,
73,342674.53125,342674.53125,True,0,
74,194466.15625,194466.15625,True,0,
75,286181.625,286181.625,True,0,
76,162019.734375,162019.734375,True,0,
77,184968.796875,184968.796875,True,0,
78,290893.5625,290893.5625,True,0,
79,212645.09375,212645.09375,True,0,
80,243244.59375,243244.59375,True,0,
81,104777.8828125,104777.8828125,True,0,
82,171794.15625,171794.15625,True,0,
83,223841.921875,223841.921875,True,0,
84,197622.96875,197622.96875,True,0,
85,174965.453125,174965.453125,True,0,
86,190146.203125,190146.203125,True,0,
87,206971.296875,206971.296875,True,0,
88,247568.109375,247568.109375,True,0,
89,307069.40625,307069.40625,True,0,
90,499794.8125,499794.8125,True,0,
91,421301.375,421301.375,True,0,
92,375501.875,375501.875,True,0,
93,268446.09375,268446.09375,True,0,
94,231184.5625,231184.5625,True,0,
95,224786.390625,224786.390625,True,0,
96,241524.09375,241524.09375,True,0,
97,228954.703125,228954.703125,True,0,
98,332446.1875,332446.1875,True,0,
99,258229.265625,258229.265625,True,0,
100,267312.0625,267312.0625,True,0,
101,230843.75,230843.75,True,0,
102,212663.953125,212663.953125,True,0,
103,409892.90625,409892.90625,True,0,
104,363332.28125,363332.28125,True,0,
105,226573.40625,226573.40625,True,0,
106,292537.4375,292537.4375,True,0,
107,217773.609375,217773.609375,True,0,
108,345511.71875,345511.71875,True,0,
109,299253.25,299253.25,True,0,
110,366566.625,366566.625,True,0,
111,310411.28125,310411.28125,True,0,
112,310727.59375,310727.59375,True,0,
113,280625.1875,280625.1875,True,0,
114,272638.9375,272638.9375,True,0,
115,243105.203125,243105.203125,True,0,
116,211034.734375,211034.734375,True,0,
117,225544.84375,225544.84375,True,0,
118,187198.0625,187198.0625,True,0,
119,221518.875,221518.875,True,0,
120,265398.8125,265398.8125,True,0,
121,207091.9375,207091.9375,True,0,
122,256126.625,256126.625,True,0,
123,207339.9375,207339.9375,True,0,
124,241502.4375,241502.4375,True,0,
125,204317.84375,204317.84375,True,0,
126,289773.0,289773.0,True,0,
127,242047.296875,242047.296875,True,0,
128,177718.234375,177718.234375,True,0,
129,110919.9765625,110919.9765625,True,0,
130,187842.765625,187842.765625,True,0,
131,227244.453125,227244.453125,True,0,
132,198088.09375,198088.09375,True,0,
133,255161.90625,255161.90625,True,0,
134,243300.03125,243300.03125,True,0,
135,378005.46875,378005.46875,True,0,
136,291373.625,291373.625,True,0,
137,192474.21875,192474.21875,True,0,
138,322057.78125,322057.78125,True,0,
139,196276.0625,196276.0625,True,0,
140,242001.125,242001.125,True,0,
141,211356.390625,211356.390625,True,0,
142,205286.796875,205286.796875,True,0,
143,192575.9375,192575.9375,True,0,
144,225752.078125,225752.078125,True,0,
145,180610.75,180610.75,True,0,
146,238354.0,238354.0,True,0,
147,159133.453125,159133.453125,True,0,
148,189172.375,189172.375,True,0,
149,183424.1875,183424.1875,True,0,
150,169012.203125,169012.203125,True,0,
151,177583.875,177583.875,True,0,
152,141191.65625,141191.65625,True,0,
153,151672.484375,151672.484375,True,0,
154,214356.640625,214356.640625,True,0,
155,192121.921875,192121.921875,True,0,
156,152399.625,152399.625,True,0,
157,212909.296875,212909.296875,True,0,
158,240212.90625,240212.90625,True,0,
159,350141.71875,350141.71875,True,0,
160,194029.34375,194029.34375,True,0,
161,228520.59375,228520.59375,True,0,
162,176103.96875,176103.96875,True,0,
163,195500.796875,195500.796875,True,0,
164,226270.453125,226270.453125,True,0,
165,219143.640625,219143.640625,True,0,
166,274468.21875,274468.21875,True,0,
167,235694.390625,235694.390625,True,0,
168,146834.0625,146834.0625,True,0,
169,140052.671875,140052.671875,True,0,
170,138492.4375,138492.4375,True,0,
171,163936.609375,163936.609375,True,0,
172,215631.953125,215631.953125,True,0,
173,158216.578125,158216.578125,True,0,
174,114766.578125,114766.578125,True,0,
175,145437.046875,145437.046875,True,0,
176,187266.09375,187266.09375,True,0,
